AI Event,Pre-Event Avg,Event-Day Avg,Post-Event Avg,Pre-to-Event Change (%),Event-to-Post Change (%)
GPT-2 Release,121.10654304825503,122.95412958335032,122.88404745133046,1.5255877086336416,-0.05699859960568
GPT-3 Introduction,169.36197373112014,162.89097188557184,169.16039361841544,-3.820811545230155,3.8488454334030004
DALL-E Announced,234.3163302567056,229.46743321234564,231.9751063751858,-2.069380755087687,1.0928231199237701
Copilot Introduced for Code Suggestions,242.02833653237624,244.46979988291432,243.2996518943256,1.0087510353199804,-0.478647255877475
DeepMind AlphaFold Release,242.1327875098908,251.22187908483608,251.19230593260488,3.753763242235011,-0.011771726387416788
ERNIE 3.0 Release,260.4211629600466,252.44003988428744,257.59257060677635,-3.0646983467252324,2.041090916025327
BLOOM Model Release,175.82026250602428,170.5387398129557,178.3873763564545,-3.0039328902080418,4.602260197364578
Stable Diffusion Released,201.683420557588,191.60481221008013,187.8734953239485,-4.997241875233891,-1.9474024911443857
DALL-E 2 Released,175.82026250602428,170.5387398129557,178.3873763564545,-3.0039328902080418,4.602260197364578
Eleven Labs AI Voice Generator Launch,242.81809990693236,,228.92965419855528,,
Midjourney Version 1 Release,198.46028846711084,200.699810438608,219.8158853426352,1.1284484109113375,9.524709994618853
Midjourney Version 2 Release,213.6078341949429,209.59348478909268,206.3364092640901,-1.8793081353873229,-1.5539965511237546
Midjourney Version 3 Release,185.93148789904413,184.85170354837808,191.39477936093655,-0.5807431344024633,3.539635116668569
Midjourney Version 4 Release,166.15642007295804,179.6146121717024,183.89004690580268,8.099712363106377,2.380337925966285
Character.AI Launched,184.74241460548123,180.33460872322783,182.0177376402128,-2.3859198179618364,0.9333366062685092
Launch of ChatGPT,181.60790144318463,187.19603605162376,183.93019149160503,3.0770327524473715,-1.7446120275314485
Claude 1 Release,196.30595724566956,199.7530566988865,202.8342159555906,1.7559831100301353,1.5424841590027458
Claude 2 Release,227.8067021409257,231.7320085287081,241.2068311510905,1.723086437270018,4.088698269410042
Google Announces Bard AI Chatbot,209.1489489680808,205.86878325216344,204.8737329384604,-1.5683395647462472,-0.4833420094022875
Kandinsky AI Model Announced,202.67540277670437,205.9947958556831,200.95807929199225,1.637787828963058,-2.4450698100254407
Midjourney Version 5 Release,196.5702287180441,197.74876175222624,203.5649703719098,0.5995480810436525,2.941211144963375
ERNIE Bot Launch,197.5120825199036,202.40396325138127,203.7597969092588,2.4767501152668507,0.6698651726466491
Copilot Expanded for Office Suite Integration,197.5120825199036,202.40396325138127,203.7597969092588,2.4767501152668507,0.6698651726466491
Limited Release of Bard AI Chatbot,201.7497323354561,207.53653517597343,206.50142250229567,2.868307567761937,-0.4987616627597983
Stable Diffusion Used for Visualizing Literary Characters,210.55784353489463,,210.8168045058472,,
DALL-E Used for Visual Representations of Literary Figures,211.98744692317223,211.2939414428828,213.49444101835095,-0.32714459764249865,1.041439977143398
Eleven Labs Introduces Multilingual Support,211.98744692317223,211.2939414428828,213.49444101835095,-0.32714459764249865,1.041439977143398
Kandinsky Applied in Generating Images from Literary Descriptions,236.58317862577024,229.94629144295808,231.1580979637588,-2.8053081463202663,0.5269954619386914
Grok AI Chatbot Unveiled,218.74419180595723,,233.7125420944873,,
DeepSeek Coder Released,214.39314386449243,221.88777607684676,230.5544393044413,3.4957424837667985,3.905876826938407
DeepSeek LLM (67B) Launched,250.5436824015824,253.17936260153837,255.3172792050816,1.0519842985828662,0.8444276743471988
Google Rebrands Bard as Gemini,255.71670876770204,253.05543854334215,262.6475232443217,-1.0407103380864506,3.7905072328001577
Midjourney Version 6 Release,267.1582973172375,267.92559264446294,262.57307537121176,0.2872062499763256,-1.9977625953613052
Claude 3 Release,281.6475205236088,279.2513744336376,280.70967926150246,-0.8507605838377637,0.5222193913360439
Grok-1 Open Sourced,279.5662147237636,,281.9355057257997,,
Midjourney Announces Personalized Models and Video Capabilities,267.94627768436106,276.67715429499566,281.4705208734778,3.258442955837405,1.7324764636589522
Meta Releases LLaMA 3,267.80590352445535,262.6018211677897,262.8124860200093,-1.943229140275628,0.0802221596494633
Claude 3.5 Sonnet Release,283.803400183065,288.9080888820954,290.1493353336569,1.7986707332391656,0.42963367912763845
Meta Introduces Voicebox AI Model,287.8356410110292,,287.14821222916646,,
Meta Releases LLaMA 3.1,293.1308927865922,294.23233965568244,285.33426431244,0.3757525720402743,-3.024166328437992
Midjourney Version 6.1 Release,288.38591283580394,282.07999560401515,274.8714350764955,-2.186624571838616,-2.55550221208846
Grok-2 Release,288.6759365573036,289.78251881253664,301.3119167437824,0.3833302728415584,3.97863817958744
Claude 3.5 Haiku and Upgraded Sonnet Release,,,,,
DeepSeek-V2 Released,266.18289502638856,275.9016773392233,276.1480844734129,3.6511671089426043,0.08930976301628302
DeepSeek R1-Lite-Preview Released,,,,,
DeepSeek-V3 Released,,,,,
Grok-3 Release,,,,,
o1 Model Announced,295.451721870643,301.82823442794296,314.16621534327123,2.1582248757689726,4.087749093027208
